Dīgha Nikāya 28 ||| Long Discourses 28
Sampasādanīyasutta ||| Inspiring Confidence
1. Sāriputtasīhanāda ||| 1. Sāriputta’s Lion’s Roar
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā nāḷandāyaṁ viharati pāvārikambavane. ||| At one time the Buddha was staying near Nāḷandā in Pāvārika’s mango grove.
Atha kho āyasmā sāriputto yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho āyasmā sāriputto bhagavantaṁ etadavoca: ||| Then Sāriputta went up to the Buddha, bowed, sat down to one side, and said to him:
“evaṁpasanno ahaṁ, bhante, bhagavati, na cāhu na ca bhavissati na cetarahi vijjati añño samaṇo vā brāhmaṇo vā bhagavatā bhiyyobhiññataro yadidaṁ sambodhiyan”ti. ||| “Sir, I have such confidence in the Buddha that I believe there’s no other ascetic or brahmin—whether past, future, or present—whose direct knowledge is superior to the Buddha when it comes to awakening.”
“Uḷārā kho te ayaṁ, sāriputta, āsabhī vācā bhāsitā, ekaṁso gahito, sīhanādo nadito: ||| “That’s a grand and bold statement, Sāriputta. You’ve roared a definitive, categorical lion’s roar, saying:
‘evaṁpasanno ahaṁ, bhante, bhagavati; ||| ‘I have such confidence in the Buddha that
na cāhu na ca bhavissati na cetarahi vijjati añño samaṇo vā brāhmaṇo vā bhagavatā bhiyyobhiññataro yadidaṁ sambodhiyan’ti. ||| I believe there’s no other ascetic or brahmin—whether past, future, or present—whose direct knowledge is superior to the Buddha when it comes to awakening.’
Kiṁ te, sāriputta, ye te ahesuṁ atītamaddhānaṁ arahanto sammāsambuddhā, sabbe te bhagavanto cetasā ceto paricca viditā: ||| What about all the perfected ones, the fully awakened Buddhas who lived in the past? Have you encompassed their minds to know that
‘evaṁsīlā te bhagavanto ahesuṁ itipi, evaṁdhammā te bhagavanto ahesuṁ itipi, evaṁpaññā te bhagavanto ahesuṁ itipi, evaṁvihārī te bhagavanto ahesuṁ itipi, evaṁvimuttā te bhagavanto ahesuṁ itipī’”ti? ||| those Buddhas had such ethics, or such qualities, or such wisdom, or such meditation, or such freedom?”
“No hetaṁ, bhante”. ||| “No, sir.”
“Kiṁ pana te, sāriputta, ye te bhavissanti anāgatamaddhānaṁ arahanto sammāsambuddhā, sabbe te bhagavanto cetasā ceto paricca viditā: ||| “And what about all the perfected ones, the fully awakened Buddhas who will live in the future? Have you encompassed their minds to know that
‘evaṁsīlā te bhagavanto bhavissanti itipi, evaṁdhammā … evaṁpaññā … evaṁvihārī … evaṁvimuttā te bhagavanto bhavissanti itipī’”ti? ||| those Buddhas will have such ethics, or such qualities, or such wisdom, or such meditation, or such freedom?”
“No hetaṁ, bhante”. ||| “No, sir.”
“Kiṁ pana te, sāriputta, ahaṁ etarahi arahaṁ sammāsambuddho cetasā ceto paricca vidito: ||| “And what about me, the perfected one, the fully awakened Buddha at present? Have you encompassed my mind to know that
‘evaṁsīlo bhagavā itipi, evaṁdhammo … evaṁpañño … evaṁvihārī … evaṁvimutto bhagavā itipī’”ti? ||| I have such ethics, or such qualities, or such wisdom, or such meditation, or such freedom?”
“No hetaṁ, bhante”. ||| “No, sir.”
“Ettha ca hi te, sāriputta, atītānāgatapaccuppannesu arahantesu sammāsambuddhesu cetopariyañāṇaṁ natthi. ||| “In that case, Sāriputta, given that you don’t encompass the minds of Buddhas past, future, or present,
Atha kiṁ carahi te ayaṁ, sāriputta, uḷārā āsabhī vācā bhāsitā, ekaṁso gahito, sīhanādo nadito: ||| what then are you doing, making such a grand and bold statement, roaring such a definitive, categorical lion’s roar?”
‘evaṁpasanno ahaṁ, bhante, bhagavati, na cāhu na ca bhavissati na cetarahi vijjati añño samaṇo vā brāhmaṇo vā bhagavatā bhiyyobhiññataro yadidaṁ sambodhiyan’”ti?
“Na kho me, bhante, atītānāgatapaccuppannesu arahantesu sammāsambuddhesu cetopariyañāṇaṁ atthi. ||| “Sir, though I don’t encompass the minds of Buddhas past, future, and present,
Api ca me dhammanvayo vidito. ||| still I understand this by inference from the teaching.
Seyyathāpi, bhante, rañño paccantimaṁ nagaraṁ daḷhuddhāpaṁ daḷhapākāratoraṇaṁ ekadvāraṁ. ||| Suppose there were a king’s frontier citadel with fortified embankments, ramparts, and arches, and a single gate.
Tatrassa dovāriko paṇḍito byatto medhāvī aññātānaṁ nivāretā, ñātānaṁ pavesetā. ||| And it has a gatekeeper who is astute, competent, and clever. He keeps strangers out and lets known people in.
So tassa nagarassa samantā anupariyāyapathaṁ anukkamamāno na passeyya pākārasandhiṁ vā pākāravivaraṁ vā antamaso biḷāranikkhamanamattampi. ||| As he walks around the patrol path, he doesn’t see a hole or cleft in the wall, not even one big enough for a cat to slip out.
Tassa evamassa: ||| They’d think,
‘ye kho keci oḷārikā pāṇā imaṁ nagaraṁ pavisanti vā nikkhamanti vā, sabbe te imināva dvārena pavisanti vā nikkhamanti vā’ti. ||| ‘Whatever sizable creatures enter or leave the citadel, all of them do so via this gate.’
Evameva kho me, bhante, dhammanvayo vidito. ||| In the same way, I understand this by inference from the teaching:
Ye te, bhante, ahesuṁ atītamaddhānaṁ arahanto sammāsambuddhā, sabbe te bhagavanto pañca nīvaraṇe pahāya cetaso upakkilese paññāya dubbalīkaraṇe catūsu satipaṭṭhānesu suppatiṭṭhitacittā, satta sambojjhaṅge yathābhūtaṁ bhāvetvā anuttaraṁ sammāsambodhiṁ abhisambujjhiṁsu. ||| ‘All the perfected ones, fully awakened Buddhas—whether past, future, or present—give up the five hindrances, corruptions of the heart that weaken wisdom. Their mind is firmly established in the four kinds of mindfulness meditation. They correctly develop the seven awakening factors. And they awaken to the supreme perfect awakening.’
Yepi te, bhante, bhavissanti anāgatamaddhānaṁ arahanto sammāsambuddhā, sabbe te bhagavanto pañca nīvaraṇe pahāya cetaso upakkilese paññāya dubbalīkaraṇe catūsu satipaṭṭhānesu suppatiṭṭhitacittā, satta sambojjhaṅge yathābhūtaṁ bhāvetvā anuttaraṁ sammāsambodhiṁ abhisambujjhissanti.
