Dīgha Nikāya 27 ||| Long Discourses 27
Aggaññasutta ||| What Came First
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati pubbārāme migāramātupāsāde. ||| At one time the Buddha was staying near Sāvatthī in the stilt longhouse of Migāra’s mother in the Eastern Monastery.
Tena kho pana samayena vāseṭṭhabhāradvājā bhikkhūsu parivasanti bhikkhubhāvaṁ ākaṅkhamānā. ||| Now at that time Vāseṭṭha and Bhāradvāja were living on probation among the mendicants in hopes of being ordained.
Atha kho bhagavā sāyanhasamayaṁ paṭisallānā vuṭṭhito pāsādā orohitvā pāsādapacchāyāyaṁ abbhokāse caṅkamati. ||| Then in the late afternoon, the Buddha came downstairs from the longhouse and was walking mindfully in the open air, beneath the shade of the longhouse.
Addasā kho vāseṭṭho bhagavantaṁ sāyanhasamayaṁ paṭisallānā vuṭṭhitaṁ pāsādā orohitvā pāsādapacchāyāyaṁ abbhokāse caṅkamantaṁ. ||| Vāseṭṭha saw him
Disvāna bhāradvājaṁ āmantesi: ||| and said to Bhāradvāja,
“ayaṁ, āvuso bhāradvāja, bhagavā sāyanhasamayaṁ paṭisallānā vuṭṭhito pāsādā orohitvā pāsādapacchāyāyaṁ abbhokāse caṅkamati. ||| “Reverend Bhāradvāja, the Buddha is walking mindfully in the open air, beneath the shade of the longhouse.
Āyāmāvuso bhāradvāja, yena bhagavā tenupasaṅkamissāma; ||| Come, reverend, let’s go to the Buddha.
appeva nāma labheyyāma bhagavato santikā dhammiṁ kathaṁ savanāyā”ti. ||| Hopefully we’ll get to hear a Dhamma talk from him.”
“Evamāvuso”ti kho bhāradvājo vāseṭṭhassa paccassosi. ||| “Yes, reverend,” replied Bhāradvāja.
Atha kho vāseṭṭhabhāradvājā yena bhagavā tenupasaṅkamiṁsu; upasaṅkamitvā bhagavantaṁ abhivādetvā bhagavantaṁ caṅkamantaṁ anucaṅkamiṁsu. ||| So they went to the Buddha, bowed, and walked beside him.
Atha kho bhagavā vāseṭṭhaṁ āmantesi: ||| Then the Buddha said to Vāseṭṭha,
“tumhe khvattha, vāseṭṭha, brāhmaṇajaccā brāhmaṇakulīnā brāhmaṇakulā agārasmā anagāriyaṁ pabbajitā, kacci vo, vāseṭṭha, brāhmaṇā na akkosanti na paribhāsantī”ti? ||| “Vāseṭṭha, you are both brahmins by birth and family, and have gone forth from the lay life to homelessness from a brahmin family. I hope you don’t have to suffer abuse and insults from the brahmins.”
“Taggha no, bhante, brāhmaṇā akkosanti paribhāsanti attarūpāya paribhāsāya paripuṇṇāya, no aparipuṇṇāyā”ti. ||| “Actually, sir, the brahmins do insult and abuse us with their typical insults to the fullest extent, holding nothing back.”
“Yathā kathaṁ pana vo, vāseṭṭha, brāhmaṇā akkosanti paribhāsanti attarūpāya paribhāsāya paripuṇṇāya, no aparipuṇṇāyā”ti? ||| “But how do the brahmins insult you?”
“Brāhmaṇā, bhante, evamāhaṁsu: ||| “Sir, the brahmins say:
‘brāhmaṇova seṭṭho vaṇṇo, hīnā aññe vaṇṇā. ||| ‘Only brahmins are the best class; other classes are inferior.
Brāhmaṇova sukko vaṇṇo, kaṇhā aññe vaṇṇā. ||| Only brahmins are the light class; other classes are dark.
Brāhmaṇāva sujjhanti, no abrāhmaṇā. ||| Only brahmins are purified, not others.
Brāhmaṇāva brahmuno puttā orasā mukhato jātā brahmajā brahmanimmitā brahmadāyādā. ||| Only brahmins are the Divinity’s true-born sons, born from his mouth, born of the Divinity, created by the Divinity, heirs of the Divinity.
Te tumhe seṭṭhaṁ vaṇṇaṁ hitvā hīnamattha vaṇṇaṁ ajjhupagatā, yadidaṁ muṇḍake samaṇake ibbhe kaṇhe bandhupādāpacce. ||| You’ve both abandoned the best class to join an inferior class, namely these shavelings, fake ascetics, primitives, black spawn from the feet of our kinsman.
Tayidaṁ na sādhu, tayidaṁ nappatirūpaṁ, yaṁ tumhe seṭṭhaṁ vaṇṇaṁ hitvā hīnamattha vaṇṇaṁ ajjhupagatā yadidaṁ muṇḍake samaṇake ibbhe kaṇhe bandhupādāpacce’ti. ||| This is not right, it’s not proper!’
Evaṁ kho no, bhante, brāhmaṇā akkosanti paribhāsanti attarūpāya paribhāsāya paripuṇṇāya, no aparipuṇṇāyā”ti. ||| That’s how the brahmins insult us.”
“Taggha vo, vāseṭṭha, brāhmaṇā porāṇaṁ assarantā evamāhaṁsu: ||| “Actually, Vāseṭṭha, the brahmins are forgetting their tradition when they say this to you.
‘brāhmaṇova seṭṭho vaṇṇo, hīnā aññe vaṇṇā;
brāhmaṇova sukko vaṇṇo, kaṇhā aññe vaṇṇā;
brāhmaṇāva sujjhanti, no abrāhmaṇā;
brāhmaṇāva brahmuno puttā orasā mukhato jātā brahmajā brahmanimmitā brahmadāyādā’ti.
Dissanti kho pana, vāseṭṭha, brāhmaṇānaṁ brāhmaṇiyo utuniyopi gabbhiniyopi vijāyamānāpi pāyamānāpi. ||| For brahmin women are seen menstruating, being pregnant, giving birth, and breast-feeding.
Te ca brāhmaṇā yonijāva samānā evamāhaṁsu: ||| Yet even though they’re born from a brahmin womb they say:
‘brāhmaṇova seṭṭho vaṇṇo, hīnā aññe vaṇṇā; ||| ‘Only brahmins are the best class; other classes are inferior.
brāhmaṇova sukko vaṇṇo, kaṇhā aññe vaṇṇā; ||| Only brahmins are the light class; other classes are dark.
brāhmaṇāva sujjhanti, no abrāhmaṇā; ||| Only brahmins are purified, not others.
brāhmaṇāva brahmuno puttā orasā mukhato jātā brahmajā brahmanimmitā brahmadāyādā’ti. ||| Only brahmins are the Divinity’s true-born sons, born from his mouth, born of the Divinity, created by the Divinity, heirs of the Divinity.’
Te brahmānañceva abbhācikkhanti, musā ca bhāsanti, bahuñca apuññaṁ pasavanti. ||| They misrepresent the brahmins, speak falsely, and brim with much wickedness.
1. Catuvaṇṇasuddhi ||| 1. Purification in the Four Classes
Cattārome, vāseṭṭha, vaṇṇā— ||| Vāseṭṭha, there are these four classes:
khattiyā, brāhmaṇā, vessā, suddā. ||| aristocrats, brahmins, peasants, and menials.
Khattiyopi kho, vāseṭṭha, idhekacco pāṇātipātī hoti adinnādāyī kāmesumicchācārī musāvādī pisuṇavāco pharusavāco samphappalāpī abhijjhālu byāpannacitto micchādiṭṭhī. ||| Some aristocrats kill living creatures, steal, and commit sexual misconduct. They use speech that’s false, backbiting, harsh, and nonsensical. And they’re covetous, malicious, with wrong view.
Iti kho, vāseṭṭha, yeme dhammā akusalā akusalasaṅkhātā sāvajjā sāvajjasaṅkhātā asevitabbā asevitabbasaṅkhātā naalamariyā naalamariyasaṅkhātā kaṇhā kaṇhavipākā viññugarahitā, khattiyepi te idhekacce sandissanti. ||| These things are unskillful, blameworthy, not to be cultivated, unworthy of the noble ones—and are reckoned as such. They are dark deeds with dark results, criticized by sensible people. Such things are exhibited in some aristocrats.
Brāhmaṇopi kho, vāseṭṭha …pe… ||| And they are also seen among some brahmins,
vessopi kho, vāseṭṭha …pe… ||| peasants,
suddopi kho, vāseṭṭha, idhekacco pāṇātipātī hoti adinnādāyī kāmesumicchācārī musāvādī pisuṇavāco pharusavāco samphappalāpī abhijjhālu byāpannacitto micchādiṭṭhī. ||| and menials.
Iti kho, vāseṭṭha, yeme dhammā akusalā akusalasaṅkhātā …pe…
kaṇhā kaṇhavipākā viññugarahitā;
suddepi te idhekacce sandissanti.
Khattiyopi kho, vāseṭṭha, idhekacco pāṇātipātā paṭivirato hoti, adinnādānā paṭivirato, kāmesumicchācārā paṭivirato, musāvādā paṭivirato, pisuṇāya vācāya paṭivirato, pharusāya vācāya paṭivirato, samphappalāpā paṭivirato, anabhijjhālu abyāpannacitto, sammādiṭṭhī. ||| But some aristocrats refrain from killing living creatures, stealing, and committing sexual misconduct. They refrain from speech that’s false, backbiting, harsh, and nonsensical. And they’re content, kind-hearted, with right view.
Iti kho, vāseṭṭha, yeme dhammā kusalā kusalasaṅkhātā anavajjā anavajjasaṅkhātā sevitabbā sevitabbasaṅkhātā alamariyā alamariyasaṅkhātā sukkā sukkavipākā viññuppasatthā, khattiyepi te idhekacce sandissanti. ||| These things are skillful, blameless, to be cultivated, worthy of the noble ones—and are reckoned as such. They are bright deeds with bright results, praised by sensible people. Such things are exhibited in some aristocrats.
Brāhmaṇopi kho, vāseṭṭha …pe… ||| And they are also seen among some brahmins,
vessopi kho, vāseṭṭha …pe… ||| peasants,
suddopi kho, vāseṭṭha, idhekacco pāṇātipātā paṭivirato hoti …pe… ||| and menials.
anabhijjhālu, abyāpannacitto, sammādiṭṭhī.
Iti kho, vāseṭṭha, yeme dhammā kusalā kusalasaṅkhātā anavajjā anavajjasaṅkhātā sevitabbā sevitabbasaṅkhātā alamariyā alamariyasaṅkhātā sukkā sukkavipākā viññuppasatthā;
suddepi te idhekacce sandissanti.
