Dīgha Nikāya 25 ||| Long Discourses 25
Udumbarikasutta ||| The Lion’s Roar at the Monastery of Lady Udumbarikā
1. Nigrodhaparibbājakavatthu ||| 1. The Story of the Wanderer Nigrodha
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā rājagahe viharati gijjhakūṭe pabbate. ||| At one time the Buddha was staying near Rājagaha, on the Vulture’s Peak Mountain.
Tena kho pana samayena nigrodho paribbājako udumbarikāya paribbājakārāme paṭivasati mahatiyā paribbājakaparisāya saddhiṁ tiṁsamattehi paribbājakasatehi. ||| Now at that time the wanderer Nigrodha was residing in the lady Udumbarikā’s monastery for wanderers, together with a large assembly of three thousand wanderers.
Atha kho sandhāno gahapati divā divassa rājagahā nikkhami bhagavantaṁ dassanāya. ||| Then the householder Sandhāna left Rājagaha in the middle of the day to see the Buddha.
Atha kho sandhānassa gahapatissa etadahosi: ||| Then it occurred to him,
“akālo kho bhagavantaṁ dassanāya. ||| “It’s the wrong time to see the Buddha,
Paṭisallīno bhagavā. ||| as he’s in retreat.
Manobhāvanīyānampi bhikkhūnaṁ asamayo dassanāya. ||| And it’s the wrong time to see the esteemed mendicants,
Paṭisallīnā manobhāvanīyā bhikkhū. ||| as they’re in retreat.
Yannūnāhaṁ yena udumbarikāya paribbājakārāmo, yena nigrodho paribbājako tenupasaṅkameyyan”ti. ||| Why don’t I visit the wanderer Nigrodha at the lady Udumbarikā’s monastery for wanderers?”
Atha kho sandhāno gahapati yena udumbarikāya paribbājakārāmo, tenupasaṅkami. ||| So he went to the monastery of the wanderers.
Tena kho pana samayena nigrodho paribbājako mahatiyā paribbājakaparisāya saddhiṁ nisinno hoti unnādiniyā uccāsaddamahāsaddāya anekavihitaṁ tiracchānakathaṁ kathentiyā. ||| Now at that time, Nigrodha was sitting together with a large assembly of wanderers making an uproar, a colossal racket. They engaged in all kinds of low talk, such as
