Dīgha Nikāya 5 ||| Long Discourses 5
Kūṭadantasutta ||| With Kūṭadanta
1. Khāṇumatakabrāhmaṇagahapatikā ||| 1. The Brahmins and Householders of Khāṇumata
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā magadhesu cārikaṁ caramāno mahatā bhikkhusaṅghena saddhiṁ pañcamattehi bhikkhusatehi yena khāṇumataṁ nāma magadhānaṁ brāhmaṇagāmo tadavasari. ||| At one time the Buddha was wandering in the land of the Magadhans together with a large Saṅgha of five hundred mendicants when he arrived at a village of the Magadhan brahmins named Khāṇumata.
Tatra sudaṁ bhagavā khāṇumate viharati ambalaṭṭhikāyaṁ. ||| There he stayed nearby at Ambalaṭṭhikā.
Tena kho pana samayena kūṭadanto brāhmaṇo khāṇumataṁ ajjhāvasati sattussadaṁ satiṇakaṭṭhodakaṁ sadhaññaṁ rājabhoggaṁ raññā māgadhena seniyena bimbisārena dinnaṁ rājadāyaṁ brahmadeyyaṁ. ||| Now at that time the brahmin Kūṭadanta was living in Khāṇumata. It was a crown property given by King Seniya Bimbisāra of Magadha, teeming with living creatures, full of hay, wood, water, and grain, a royal park endowed to a brahmin.
Tena kho pana samayena kūṭadantassa brāhmaṇassa mahāyañño upakkhaṭo hoti. ||| Now at that time Kūṭadanta had prepared a great sacrifice.
Satta ca usabhasatāni satta ca vacchatarasatāni satta ca vacchatarīsatāni satta ca ajasatāni satta ca urabbhasatāni thūṇūpanītāni honti yaññatthāya. ||| Bulls, bullocks, heifers, goats and rams—seven hundred of each—had been led to the post for the sacrifice.
Assosuṁ kho khāṇumatakā brāhmaṇagahapatikā: ||| The brahmins and householders of Khāṇumata heard:
“samaṇo khalu, bho, gotamo sakyaputto sakyakulā pabbajito magadhesu cārikaṁ caramāno mahatā bhikkhusaṅghena saddhiṁ pañcamattehi bhikkhusatehi khāṇumataṁ anuppatto khāṇumate viharati ambalaṭṭhikāyaṁ. ||| “It seems the ascetic Gotama—a Sakyan, gone forth from a Sakyan family—has arrived at Khāṇumata and is staying at Ambalaṭṭhikā.
Taṁ kho pana bhavantaṁ gotamaṁ evaṁ kalyāṇo kittisaddo abbhuggato: ||| He has this good reputation:
‘itipi so bhagavā arahaṁ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṁ buddho bhagavā’ti. ||| ‘That Blessed One is perfected, a fully awakened Buddha, accomplished in knowledge and conduct, holy, knower of the world, supreme guide for those fit for training, teacher of gods and humans, awakened, blessed.’
So imaṁ lokaṁ sadevakaṁ samārakaṁ sabrahmakaṁ sassamaṇabrāhmaṇiṁ pajaṁ sadevamanussaṁ sayaṁ abhiññā sacchikatvā pavedeti. ||| He has realized with his own insight this world—with its gods, Māras, and divinities, this population with its ascetics and brahmins, gods and humans—and he makes it known to others.
So dhammaṁ deseti ādikalyāṇaṁ majjhekalyāṇaṁ pariyosānakalyāṇaṁ sātthaṁ sabyañjanaṁ kevalaparipuṇṇaṁ parisuddhaṁ brahmacariyaṁ pakāseti. ||| He proclaims a teaching that is good in the beginning, good in the middle, and good in the end, meaningful and well-phrased. And he reveals a spiritual practice that’s entirely full and pure.
Sādhu kho pana tathārūpānaṁ arahataṁ dassanaṁ hotī”ti. ||| It’s good to see such perfected ones.”
Atha kho khāṇumatakā brāhmaṇagahapatikā khāṇumatā nikkhamitvā saṅghasaṅghī gaṇībhūtā yena ambalaṭṭhikā tenupasaṅkamanti. ||| Then, exiting Khāṇumata, they formed into companies and headed to Ambalaṭṭhikā.
Tena kho pana samayena kūṭadanto brāhmaṇo uparipāsāde divāseyyaṁ upagato hoti. ||| Now at that time the brahmin Kūṭadanta had retired to the upper floor of his stilt longhouse for his midday nap.
Addasā kho kūṭadanto brāhmaṇo khāṇumatake brāhmaṇagahapatike khāṇumatā nikkhamitvā saṅghasaṅghī gaṇībhūte yena ambalaṭṭhikā tenupasaṅkamante. ||| He saw the brahmins and householders heading for Ambalaṭṭhikā,
Disvā khattaṁ āmantesi: ||| and addressed his butler,
